danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,cluster
0.64,0.651,4,-14.981,0,0.0517,0.142,0.28,0.0341,0.801,111.676,4c4jJJoaiY21t2TyRZgdWS,12
0.585,0.532,7,-9.673,1,0.0268,0.209,0.00797,0.227,0.68,94.461,1hHGUdFaiJHw9hVZGJWYO2,11
0.623,0.449,5,-13.333,1,0.0253,0.212,0.0,0.0613,0.572,84.383,5tVA6TkbaAH9QMITTQRrNv,6
0.533,0.376,9,-11.913,0,0.0393,0.0302,0.248,0.0926,0.187,165.007,2EqlS6tkEnglzr7tkKAAYD,8
0.252,0.797,11,-3.877,1,0.0328,0.00458,0.424,0.344,0.199,77.972,3q9npStSssk7sZWotiNQLK,19
0.394,0.622,4,-8.258,0,0.0336,0.213,4.45e-05,0.0892,0.342,126.844,0cKk8BKEi7zXbdrYdyqBP5,15
0.421,0.751,9,-9.584,1,0.0472,0.2,0.0,0.17,0.789,89.839,6ToM0uwxtPKo9CMpbPGYvM,11
0.292,0.823,7,-6.763,1,0.0407,0.0117,7.79e-05,0.155,0.244,89.939,6Nd6ntkzr4t8o1FKPGOSMt,19
0.482,0.786,7,-5.735,1,0.032,0.00321,8.88e-05,0.446,0.793,126.755,4DMKwE2E2iYDKY01C335Uw,1
0.499,0.318,7,-13.776,1,0.0485,0.718,0.00101,0.379,0.282,121.498,1HzDhHApjdjXPLHF6GGYhu,6
0.256,0.641,1,-10.283,1,0.0552,0.199,0.0329,0.0853,0.382,203.006,11LmqTE2naFULdEP94AUBa,20
0.324,0.938,6,-7.332,0,0.102,0.032,0.0321,0.0961,0.543,168.131,0Puj4YlTm6xNzDDADXHMI9,4
0.611,0.882,9,-11.225,1,0.0538,0.0847,1.08e-06,0.192,0.605,117.932,2HXixVqzzm9rEUIMAWzshl,11
0.356,0.917,9,-6.006,1,0.0479,0.0335,0.0,0.406,0.518,171.176,57iDDD9N9tTWe75x6qhStw,20
0.284,0.875,11,-6.069,0,0.0422,0.00752,0.000461,0.402,0.595,75.009,1L94M3KIu7QluZe63g64rv,15
0.615,0.616,6,-10.39,0,0.133,0.0399,0.000129,0.348,0.836,170.776,5NTZM8YYeKM2YsGSffVIge,4
0.543,0.529,7,-9.717,1,0.0301,0.326,0.00269,0.709,0.746,85.126,3KPwt1LBpt1jVSHz8GXERo,1
0.533,0.905,2,-5.27,1,0.0754,0.00876,0.578,0.0698,0.486,108.9,0wJoRiX5K5BxlqZTolB2LD,9
0.465,0.977,7,-3.839,0,0.175,0.00111,0.00298,0.201,0.233,89.535,6imjJij6aCM0IbbODUzJQn,15
0.509,0.584,0,-4.907,1,0.057,0.0368,9.96e-05,0.384,0.685,170.411,6y20BV5L33R8YXM0YuI38N,20
0.767,0.787,3,-9.897,1,0.0331,0.0163,0.583,0.0513,0.964,126.879,5QLHGv0DfpeXLNFo7SFEy1,7
0.596,0.448,5,-9.616,1,0.0396,0.365,5.3e-06,0.206,0.796,83.293,1bp2IO61zbQrbWNmKKxg3f,6
